naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Quattro Happiness 1650 ml	00900680	Quattro	0.920	KOM	       7,49		1	L	4,539			MPC 2.5.2025=7,49€	3850116036083	HRANA
Quattro Joy 1650 ml	00900731	Quattro	0.965	KOM	       7,49		1	L	4,539			MPC 2.5.2025=7,49€	3850116036113	HRANA
Snickers Sladoled prutić 72,5 ml	00900982	Snickers	0.066	KOM	       1,79		1	L	24,52			MPC 2.5.2025=1,49€	5000159386395	HRANA
Mars Sladoled prutić 74 ml	00900983	Mars	0.060	KOM	       1,79		1	L	24,19			MPC 2.5.2025=1,49€	5000159386388	HRANA
Ledo Quattro Fantasy 1650 ml	00901051	Ledo	0.915	KOM	       7,49		1	L	4,539			MPC 2.5.2025=7,49€	3850116036144	HRANA
Stracciatella kornet-šumsko voće 120 ml	00901073	Ledo	0.070	KOM	       1,79		1	L	14,92			MPC 2.5.2025=1,79€	3850116037851	HRANA
King kornet čokolada-vanilija 160 ml	00901075	King	0.062	KOM	       2,69		1	L	16,81			MPC 2.5.2025=2,69€	3850116815107	HRANA
Mars slad. IC prutići multipack 6x40 g	00901140	Mars	0.240	KOM	       4,99		1	KG	20,79			MPC 2.5.2025=4,99€	5000159541459	HRANA
Konzumne kocke leda 2,5 kg Ledeno doba	00901230	#	2.500	KOM	       2,99		1	KG	1,196			MPC 2.5.2025=2,99€	3859891577118	HRANA
Twice slad.š.voće-van-punč 1,7 l	00901250	Ledo	0.380	KOM	       4,49		1	L	2,641			MPC 2.5.2025=4,49€	3850116867519	HRANA
KLC.Sladoled čokolada 1L	00901420	K- Classic	0.517	KOM	       2,27	A	1.000			       2,27	2,09	MPC 2.5.2025=2,99€	4063367568947	HRANA
KLC.Sladoled vanilija-bourbon 1000 ml	00901421	K-Classic	0.547	KOM	       2,09	A	1.000			       2,09	2,09	MPC 2.5.2025=2,99€	4063367569081	HRANA
KLC.MaxxSladoledNaŠtapićuOdČokolade120ml	00901422	K- Classic	0.084	KOM	       0,69	A	1	L	5,75	       0,69	0,65	MPC 2.5.2025=1,19€	5410651014120	HRANA
KLC.MaxxSladoledNaŠtapićuOdBadema 120 ml	00901423	K-Classic	0.074	KOM	       0,69	A	1	L	5,75	       0,69	0,59	MPC 2.5.2025=1,19€	4063367226441	HRANA
Ledo Mini Quattro Classic obit.sl.900ml	00901432	Ledo	0.510	KOM	       4,99		1	L	5,544			MPC 13.5.2025=4,99€	3850116036359	HRANA
KLC.Sladoled na štapiću od van.16x60ml	00901483	K-Classic	0.528	KOM	       2,59	A	1	L	2,698	       2,59	3,99	MPC 2.5.2025=3,99€	5410651014168	HRANA
Ledo Sladoled Fun time 6x110ml	00901611	Ledo	0.396	KOM	       4,99		1	L	7,561			MPC 2.5.2025=4,99€	3850116008622	HRANA
KLC.SladoledStraciatella 1000 ml	00901740	K-Classic	0.518	KOM	       2,09	A	1.000			       2,09	2,09	MPC 2.5.2025=2,99€	4067776062102	HRANA
KLC.SladoledOrah 1000 ml	00901741	K-Classic	0.534	KOM	       2,09	A	1.000			       2,09	2,09	MPC 2.5.2025=2,99€	4063367568961	HRANA
KLC.SladoledNaŠtapiću čokolada 16x60ml	00901800	K-Classic	0.528	KOM	       3,19	A	1	L	3,323	       3,19	3,99	MPC 2.5.2025=3,99€	5410651014175	HRANA
Gavrilović Tirolska kobasica DEL	01000089	Gavrilović	1	KG	       8,30	A	1.000			       8,30	7,90	MPC 2.5.2025=12,1€	2800538000000	HRANA
Gavrilović Šunkarica	01000090	Gavrilović	1	KG	      10,50		1.000					MPC 2.5.2025=9,9€	2800522000000	HRANA
Gavrilović Šunka u ovitku	01000091	Gavrilović	1	KG	      13,20		1.000					MPC 2.5.2025=12,6€	2800523000000	HRANA
President Trapist u kori 45%m.m. 2,6 DEL	01000183	President	1	KG	      12,90		1.000					MPC 2.5.2025=12,4€	2800335000000	HRANA
President Podravec sir 45%m.m. 2,7 DEL	01000184	President	1	KG	      11,90		1.000					MPC 2.5.2025=12,9€	2800336000000	HRANA
Stanić Bayernland Gouda 48% mm DEL_OC	01000189	Bayernland	1	KG	       6,49		1.000					MPC 2.5.2025=6,49€	2800337000000	HRANA
Stanić Bayernland Edamer sir 40% mm DEL	01000192	Bayernland	1	KG	      11,10	A	1.000			      11,10	8,90	MPC 2.5.2025=13,9€	2800338000000	HRANA
Grabancijaš meki slani sir cca 1 DEL	01000318	Vindija	1	KG	      13,90		1.000					MPC 2.5.2025=11,9€	2800369000000	HRANA
AiA Mortadela Olimpia sa pistaciom	01000361	Olimpia	1	KG	       8,40		1.000					MPC 2.5.2025=8,4€	2800505000000	HRANA
Franc. sal. s majonez. Zvijezda -RINFUZA	01000371	Zvijezda	1	KG	       7,90		1.000					MPC 2.5.2025=7,99€	2800717000000	HRANA
Vindija Varaždinec polutvrdi sir 45% DEL	01000614	Vindija	1	KG	      11,40		1.000					MPC 2.5.2025=11,9€	2800339000000	HRANA
Vindija Tilzit polutvrdi sir 45% mm DEL	01000618	Vindija	1	KG	      11,40		1.000					MPC 2.5.2025=12,4€	2800340000000	HRANA
Vindija Ovidur tvrdi ovčji sir 45%mm DEL	01000619	Vindija	1	KG	      33,90		1.000					MPC 2.5.2025=28,9€	2800370000000	HRANA
Vindija Bovidur tvrdi kravlji sir45% DEL	01000620	Vindija	1	KG	      19,90		1.000					MPC 2.5.2025=18,9€	2800341000000	HRANA
Vindija Caprodur tvrdi kozji sir 45% DEL	01000621	Vindija	1	KG	      29,90		1.000					MPC 2.5.2025=29,9€	2800371000000	HRANA
Cekin Dimljena pileća prsa Dimcek	01000633	Cekin	1	KG	      10,90		1.000					MPC 2.5.2025=10,9€	2800524000000	HRANA
Paška sirana trapist 45%mm cca 2,5 DEL	01000661	Paška sirana	1	KG	      21,90		1.000					MPC 2.5.2025=17,9€	2800342000000	HRANA
PIK Šunka vakumirana	01000830	3IK	1	KG	      14,90		1.000					MPC 2.5.2025=11,9€	2800525000000	HRANA
PIK Šunka u ovitku	01001128	PIK	1	KG	      12,70		1.000					MPC 2.5.2025=11,9€	2800526000000	HRANA
PIK Zimska salama DEL	01001131	PIK	1	KG	      14,90	A	1.000			      14,90	14,90	MPC 2.5.2025=14,9€	2800580000000	HRANA
Sljeme Šunka u ovitku_OC	01001136	Sljeme	1	KG	       8,70		1.000					MPC 2.5.2025=8,7€	2800527000000	HRANA
PIK Kuhana šunka	01001141	PIK	1	KG	      14,20		1.000					MPC 2.5.2025=13,3€	2800528000000	HRANA
PIK Mortadela	01001142	PIK	1	KG	      10,90		1.000					MPC 2.5.2025=10,9€	2800508000000	HRANA
President Dimsi sir 45% mm cca 2,7 DEL	01001271	President	1	KG	      12,40		1.000					MPC 2.5.2025=12,4€	2800343000000	HRANA
Belje Kulenova seka DEL	01001950	Belje	1	KG	      21,90		1.000					MPC 2.5.2025=18,9€	2800582000000	HRANA
Vindija Pureća DeLux šunka	01002150	Vindon	1	KG	      18,90		1.000					MPC 2.5.2025=18,9€	2800529000000	HRANA
Gavrilović Pariška kobasica	01002171	Gavrilović	1	KG	      10,10		1.000					MPC 2.5.2025=9,9€	2800509000000	HRANA
Vindija Varaždinski Trapist sir45%mm DEL	01002390	Vindija	1	KG	      12,40		1.000					MPC 2.5.2025=12,4€	2800344000000	HRANA
PP Pileća prsa u ovitku	01002641	Perutnina	1	KG	       6,80	A	1.000			       6,80	6,50	MPC 2.5.2025=9,90€	2800530000000	HRANA
PIK šunka fina	01003512	PIK	1	KG	      15,90		1.000					MPC 2.5.2025=11,9€	2800531000000	HRANA
PIK panona salama vac	01004320	PIK	1	KG	      16,90	A	1.000			      16,90	21,80	MPC 2.5.2025=21,9€	2800583000000	HRANA
Stanić Planinski sir 40%m.m. DEL	01004333	#	1	KG	      18,50		1.000					MPC 2.5.2025=14,9€	2800346000000	HRANA
Gavrilović Čajna kobasica maxi	01004350	Gavrilović	1	KG	      19,50		1.000					MPC 2.5.2025=19,5€	2800584000000	HRANA
President Edam sir 45% mm DEL	01005232	President	1	KG	      12,40		1.000					MPC 2.5.2025=12,9€	2800372000000	HRANA
Gavrilović šunka za pizzu	01005494	Gavrilović	1	KG	       6,90		1.000					MPC 2.5.2025=6,9€	2800535000000	HRANA
San Giorgio mortadela	01005495	Gavrilović	1	KG	      11,90		1.000					MPC 2.5.2025=11,60€	2800510000000	HRANA
San Giorgio mortadela s maslinama	01005496	Gavrilović	1	KG	      11,90		1.000					MPC 2.5.2025=11,90€	2800511000000	HRANA
Pecivo Kajzerica pšenično 60 g_OC	01005630	#	0.060	KOM	       0,13		1	KG	2,167			MPC 2.5.2025=0,13€	5836	HRANA
Paška sirana Dalmatinac 45%mmDEL	01005814	Paška sirana	1	KG	      25,40		1.000					MPC 2.5.2025=22,7€	2800349000000	HRANA
Podravka grah s kobasicama 400 g	01100010	Podravka	0.400	KOM	       3,65		1	KG	9,125			MPC 2.5.2025=3,69€	3850104035739	HRANA
Podravka Grah s hamburgerom 400 g	01100011	Podravka	0.400	KOM	       3,65		1	KG	9,125			MPC 2.5.2025=3,69€	3850104035746	HRANA
Podravka mesni ragu 200 g	01100231	Podravka	0.200	KOM	       2,49		1	KG	12,45			MPC 2.5.2025=2,49€	3850104020308	HRANA
Podravka mesni ragu sa šampinjonima 200g	01100233	Podravka	0.200	KOM	       2,49		1	KG	12,45			MPC 22.5.2025=2,09€	3850104022661	HRANA
Podravka fileki 400 g	01100234	Podravka	0.400	KOM	       3,89		1	KG	9,725			MPC 2.5.2025=3,89€	3850104050848	HRANA
Talianetta tjestenina carbonara 160 g	01100520	Podravka	0.160	KOM	       2,49		1	KG	15,56			MPC 2.5.2025=2,49€	3850104230943	HRANA
Talianetta rezanci s umak.od gljiva 140g	01100521	Podravka	0.140	KOM	       2,49		1	KG	17,79			MPC 2.5.2025=2,49€	3850104230967	HRANA
Talianetta tjest. sa 4 sira 145 g	01100530	Podravka	0.145	KOM	       2,49		1	KG	17,17			MPC 2.5.2025=2,49€	3850104231025	HRANA
Talianetta makaroni napoletana 160 g	01100531	Podravka	0.160	KOM	       2,49		1	KG	15,56			MPC 2.5.2025=2,49€	3850104230981	HRANA
Talianetta makaroni bolognese 160g	01100532	Podravka	0.160	KOM	       2,49		1	KG	15,56			MPC 2.5.2025=2,49€	3850104230950	HRANA
Podravka čobanac 400 g	01100662	Podravka	0.400	KOM	       4,49		1	KG	11,23			MPC 2.5.2025=3,69€	3858886463863	HRANA
Indomie instant juha spe.pil s tj. 75gx5	01100830	Indomie	0.375	KOM	       2,09		1	KG	5,573			MPC 2.5.2025=2,09€	089686170054	HRANA
Indomie instant juha pilet. s tj. 70gx5	01100832	Indomie	0.350	KOM	       2,09		1	KG	5,971			MPC 2.5.2025=2,09€	089686170115	HRANA
Indomie Juha instant povrće 75gx5	01100910	Indomie	0.375	KOM	       2,29		1	KG	6,107			MPC 2.5.2025=2,29€	089686170269	HRANA
Tartufata- delik. staklenka 80 g Zigante	01200430	Zigante tartufi	0.080	KOM	      10,59		1	KG	132,4			MPC 2.5.2025=10,59€	3859889179201	HRANA
Tartufi i vrganji-staklenka 80 g Zigante	01200431	Zigante	0.080	KOM	      13,29		1	KG	166,1			MPC 2.5.2025=13,29€	3859889179300	HRANA
Tartufi crni cijeli-stakl. 25 g Zigante	01200432	Zigante	0.025	KOM	      14,99		1.000					MPC 2.5.2025=15,09€	3859889179010	HRANA
Tartufi i  šampinjoni-stakl 80 g Zigante	01200433	Zigante tartufi	0.080	KOM	       6,99		1	KG	87,38			MPC 2.5.2025=6,99€	3859889179409	HRANA
Tartufi i  masline-stakl 80 g Zigante	01200434	Zigante tartufi	0.080	KOM	       6,99		1	KG	87,38			MPC 2.5.2025=6,99€	3859889179652	HRANA
La Fiesta mješ.začina Taco seas.mix 35g	01200910	La Fiesta	0.035	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	5412514935191	HRANA
La Fiesta mješ.začina Fajita sea.mix 40g	01200911	Casa Fiesta	0.040	KOM	       1,19		1.000					MPC 2.5.2025=1,19€	5412514935184	HRANA
Youwok.com Umak Thai sweet chilli 250ml	01200924	YouWok.com	0.250	KOM	       3,49		1	L	13,96			MPC 2.5.2025=3,25€	8717228380020	HRANA
YouWok.com Tjestenina od riže 250 g	01200925	YouWok.com	0.250	KOM	       2,89		1	KG	11,56			MPC 2.5.2025=2,89€	8717228380174	HRANA
Youwok.com Umak Sweet chilli 250ml	01200930	Youwok.com	0.250	KOM	       3,49		1	L	13,96			MPC 2.5.2025=2,85€	8717228380051	HRANA
Youwok.com Umak Sweet&sour 250ml	01200931	Youwok.com	0.250	KOM	       3,35		1	L	13,4			MPC 2.5.2025=3,35€	8717228380044	HRANA
Tartufi crni mljeveni 30 g Zigante	01201270	Zigante	0.030	KOM	      13,29		1.000					MPC 2.5.2025=13,29€	3859889179713	HRANA
Tartufi i vrganji 130 g Zigante	01201274	Zigante	0.130	KOM	      16,59		1	KG	127,6			MPC 2.5.2025=16,59€	3859889179317	HRANA
Tartufata  130 g Zigante	01201275	#	0.130	KOM	      13,49		1	KG	103,8			MPC 2.5.2025=13,49€	3859889179218	HRANA
Zigante tartufi mljeveni bijeli 30 g	01201320	Zigante	0.030	KOM	      16,85		1.000					MPC 2.5.2025=16,85€	3859889179706	HRANA
Zigante tartufi mljeveni crni 90 g	01201323	Zigante	0.090	KOM	      25,19		1	KG	279,9			MPC 2.5.2025=25,19€	3859889179751	HRANA
La Fiesta wrap tortilla mek.palači.245 g	01201450	La Fiesta	0.245	KOM	       2,05		1	KG	8,367			MPC 2.5.2025=2,29€	5412514935016	HRANA
La Fiesta tortilla od brašna 320g	01201451	Casa Fiesta	0.320	KOM	       2,19		1	KG	6,844			MPC 2.5.2025=2,29€	5412514934989	HRANA
Kotanyi Asia curry mješavina začina 27 g	01201610	Kotanyi	0.027	KOM	       1,79		1.000					MPC 2.5.2025=1,59€	9001414015094	HRANA
Kotanyi asia wok mješavina začina 38 g	01201620	Kotanyi	0.038	KOM	       1,79		1.000					MPC 2.5.2025=1,59€	9001414418109	HRANA
Kotanyi tex mex tacos mješ.zač.vr.40 g	01201621	Kotanyi	0.040	KOM	       1,69		1.000					MPC 2.5.2025=1,85€	9001414418130	HRANA
Kotanyi chilli con carne mješ.začina 25g	01201623	Kotanyi	0.025	KOM	       1,69		1.000					MPC 2.5.2025=1,85€	9001414010150	HRANA
Zvijezda Francuska salata 500 g	01201680	Zvijezda	0.500	KOM	       4,59		1	KG	9,18			MPC 2.5.2025=4,49€	3856015300331	HRANA
Kotanyi fajita mješavina začina vr.40 g	01202120	Kotanyi	0.040	KOM	       1,69		1.000					MPC 2.5.2025=1,85€	9001414011539	HRANA
Kotanyi burrito mješavina začina 40 g	01202130	Kotanyi	0.040	KOM	       1,69		1.000					MPC 2.5.2025=1,85€	9001414011546	HRANA
Zigante Mini Kolekcija  3/1 90g	01202161	Zigante	0.090	KOM	      15,89		1	KG	176,6			MPC 2.5.2025=15,89€	3859889179737	HRANA
Namaz od vrganja 180 g Zigante	01202170	Zigante Delice	0.180	KOM	       6,19		1	KG	34,39			MPC 2.5.2025=6,19€	3859892291501	HRANA
Podravka ajvar ljuti 350 g	01300030	Podravka	0.350	KOM	       2,49		1	KG	7,114			MPC 2.5.2025=2,49€	3850104050565	HRANA
Podravka ajvar blagi 690 g	01300031	Podravka	0.690	KOM	       3,69		1	KG	5,348			MPC 2.5.2025=3,49€	3850104051012	HRANA
Podravka ajvar ljuti 690 g	01300032	Podravka	0.690	KOM	       3,79		1	KG	5,493			MPC 2.5.2025=3,49€	3850104050572	HRANA
Podravka senf estragon čaša 140 g	01300035	Podravka	0.140	KOM	       1,79		1	KG	12,79			MPC 2.5.2025=1,79€	3850104023033	HRANA
Podravka senf estragon 700 g staklenka	01300036	Podravka	0.700	KOM	       3,99		1	KG	 5,7			MPC 2.5.2025=3,99€	3850104023415	HRANA
Zvijezda majoneza tuba 165 g	01300051	Zvijezda	0.165	KOM	       2,49		1	KG	15,09			MPC 2.5.2025=2,29€	3858882210263	HRANA
Zvijezda majoneza lagana vrećica 95 g	01300053	Zvijezda	0.095	KOM	       0,85	A	1	KG	8,947	       0,85	1,19	MPC 2.5.2025=1,09€	3858882210324	HRANA
Zvijezda ketchup blagi 1 kg	01300061	Zvijezda	1	KOM	       2,99		1.000					MPC 2.5.2025=2,79€	3858882210881	HRANA
Zvijezda ketchup ljuti 500 g	01300062	Zvijezda	0.500	KOM	       2,09		1	KG	4,18			MPC 2.5.2025=2,09€	3858882210898	HRANA
Zvijezda ketchup blagi 500 g	01300063	Zvijezda	0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,99€	3858882210874	HRANA
Thomy senf delikatesni staklenka 700 g	01300092	Thomy	0.700	KOM	       5,19		1	KG	7,414			MPC 2.5.2025=5,19€	7610100999093	HRANA
Thomy senf tuba 200 g	01300093	Thomy	0.200	KOM	       2,29		1	KG	11,45			MPC 2.5.2025=2,29€	7613287084163	HRANA
Jutro Senf u krigli 265 g	01300101	Jutro	0.265	KOM	       2,65		1	KG				MPC 2.5.2025=2,65€	4025891004254	HRANA
Jutro Senf 265 g	01300102	Jutro	0.265	KOM	       2,19		1	KG	8,264			MPC 2.5.2025=2,19€	4025891003257	HRANA
Podravka ajvar blagi 195 g	01300107	Podravka	0.195	KOM	       1,85		1	KG	9,487			MPC 2.5.2025=1,45€	3850104022517	HRANA
Podravka senf estragon 350 g staklenka	01300108	Podravka	0.350	KOM	       2,49		1	KG	7,114			MPC 2.5.2025=2,49€	3850104023484	HRANA
Podravka ajvar blagi 350 g	01300120	Podravka	0.350	KOM	       2,49		1	KG	7,114			MPC 2.5.2025=2,49€	3850104051029	HRANA
Mc Ilhenny Tabasco zeleni, blagi 60 ml	01300131	Mc Ilhenny	0.060	KOM	       4,59		1	L	76,5			MPC 2.5.2025=4,59€	011210009516	HRANA
Mc Ilhenny Tabasco pepper sauce 60 ml	01300132	Mc Ilhenny	0.060	KOM	       4,59		1	L	76,5			MPC 2.5.2025=4,59€	011210000018	HRANA
Thomy Top 2 majoneza kečap tuba 190g	01300153	Thomy	0.190	KOM	       2,49		1	KG	13,11			MPC 2.5.2025=2,49€	7613287146694	HRANA
Thomy tartar tuba 180 g	01300154	Thomy	0.180	KOM	       2,49		1	KG	13,83			MPC 2.5.2025=2,49€	8445291315006	HRANA
Mautner Markhof Senf estragon tuba 200 g	01300540	Mautner Markhof	0.200	KOM	       1,79		1	KG	8,95			MPC 2.5.2025=1,49€	9011900139616	HRANA
Thomy majoneza tuba 165g	01300677	Thomy	0.165	KOM	       2,49		1	KG	15,09			MPC 2.5.2025=2,49€	7613287084606	HRANA
Barilla umak bolognese 400 g	01300880	Barilla	0.400	KOM	       4,59		1	KG	11,48			MPC 2.5.2025=4,59€	8076809513678	HRANA
Barilla umak basilico 400 g	01300884	Barilla	0.400	KOM	       3,29		1	KG	8,225			MPC 2.5.2025=3,29€	8076809513456	HRANA
Thomy senf tuba 100 g	01301010	Thomy	0.100	KOM	       1,79		1	KG	17,9			MPC 2.5.2025=1,79€	7613287084644	HRANA
Zvijezda Ketchup za pizzu 490 g	01301041	Zvijezda	0.490	KOM	       2,09		1	KG	4,265			MPC 2.5.2025=2,09€	3858882212502	HRANA
Develay preljev za salatu s jogur.75 ml	01301080	Develey	0.078	KOM	       0,79		1	L	10,53			MPC 2.5.2025=0,79€	4006824018111	HRANA
Develey prelj.za sal. s oct i ulj. 75 ml	01301084	Develey	0.077	KOM	       0,79		1	L	10,53			MPC 2.5.2025=0,79€	4006824018180	HRANA
Develey Preljev za sal. Coctktail 75 ml.	01301085	Develey	0.079	KOM	       0,79		1	L	10,53			MPC 2.5.2025=0,79€	4006824008013	HRANA
Develey Prelj.za sal.začinsko bilje75 ml	01301086	Develey	0.077	KOM	       0,79		1	L	10,53			MPC 2.5.2025=0,79€	4006824028219	HRANA
Podravka hren staklenka 345 g	01301110	Podravka	0.345	KOM	       2,69		1	KG	7,797			MPC 2.5.2025=2,69€	3850104209451	HRANA
Kikkoman, sojin umak, 150 ml	01301181	Kikkoman	0.176	KOM	       3,59		1	L	23,93			MPC 2.5.2025=3,99€	8715035110205	HRANA
Podravka salsa umak 410 g	01301322	Podravka	0.410	KOM	       3,19		1	KG	7,78			MPC 22.05.2025=3,19€	3850104222351	HRANA
Thomy majoneza tuba 265 g	01301340	Thomy	0.265	KOM	       3,59		1	KG	13,55			MPC 2.5.2025=3,59€	7613287084545	HRANA
Podravka umak bolognese 410 g	01301390	Podravka	0.410	KOM	       4,29		1	KG	10,46			MPC 2.5.2025=3,19€	3850104224850	HRANA
Zvijezda Masline zel.s paprik.700g/400g	01301501	Zvijezda	0.700	KOM	       4,69		1	KG	11,73			MPC 2.5.2025=4,69€	3858882213783	HRANA
Zvijezda Masline zelene odgorč.700g/400g	01301502	Zvijezda	0.700	KOM	       4,19		1	KG	10,48			MPC 2.5.2025=4,19€	3858882213738	HRANA
Zvijezda Masl.zelene pun.papr350g/200g	01301503	Zvijezda	0.350	KOM	       3,39		1	KG	16,95			MPC 2.5.2025=3,39€	3858882213790	HRANA
Thomy majoneza tuba 85 g	01301510	Thomy	0.085	KOM	       1,59		1	KG	18,71			MPC 2.5.2025=1,59€	7613287084620	HRANA
Zvijezda Masline zelene odgorč.350g/200g	01301520	Zvijezda	0.350	KOM	       2,49		1	KG	12,45			MPC 2.5.2025=2,49€	3858882213745	HRANA
Zvijezda Masline crne odgorčene700g/400g	01301521	Zvijezda	0.700	KOM	       4,59		1	KG	11,48			MPC 2.5.2025=4,59€	3858882213707	HRANA
Zvijezda Masline zelene otkošt.350g/165g	01301524	Zvijezda	0.350	KOM	       2,89		1	KG	17,52			MPC 2.5.2025=2,89€	3858882213769	HRANA
Zvijezda Masline crne odgorčene350g/200g	01301525	Zvijezda	0.350	KOM	       3,19		1	KG	15,95			MPC 2.5.2025=3,19€	3858882213714	HRANA
Barilla Pesto genovese 190 g	01301527	Barilla	0.190	KOM	       2,59	A	1	KG	13,63	       2,59	2,55	MPC 2.5.2025=4,59€	8076809513746	HRANA
Reine Dijon Senf staklenka 190 g	01301540	Reine dijon	0.190	KOM	       3,49		1	KG	18,37			MPC 2.5.2025=3,29€	3563490110125	HRANA
Reine Dijon Senf ljuti staklo 200 g	01301541	Reine Dijon	0.200	KOM	       3,19		1	KG	15,95			MPC 2.5.2025=3,19€	3563490010098	HRANA
Zvijezda tartar umak 165 g	01301550	Zvijezda	0.165	KOM	       2,29		1	KG	13,88			MPC 2.5.2025=1,79€	3858882214940	HRANA
Ben´s Original Umak slat.kisel.anan.400g	01301681	Ben's Original	0.400	KOM	       3,69		1	KG	9,225			MPC 2.5.2025=3,69€	4002359017209	HRANA
Podravka ketchup blagi 1000 g	01301910	Podravka	1	KOM	       2,99		1.000					MPC 2.5.2025=2,99€	3850104240836	HRANA
Sacla Pesto s bosiljkom 190 g	01301960	Sacla	0.190	KOM	       3,59		1	KG	18,89			MPC 2.5.2025=3,59€	8001060001848	HRANA
Barilla umak priprema za bolognese 400 g	01302030	Barilla	0.400	KOM	       3,29		1	KG	8,225			MPC 2.5.2025=3,29€	8076809513654	HRANA
Barilla umak napoletana 400 g	01302031	Barilla	0.400	KOM	       3,29		1	KG	8,225			MPC 2.5.2025=3,29€	8076809513692	HRANA
Barilla umak ricotta 400 g	01302032	Barilla	0.400	KOM	       4,59		1	KG	11,48			MPC 2.5.2025=4,59€	8076809521543	HRANA
Mautner Markof Kremser Senf tuba 200 g	01302070	Mautner Markof	0.200	KOM	       1,95		1	KG	9,75			MPC 2.5.2025=1,65€	9011900139647	HRANA
Podravka hren staklenka 200 g	01302190	Podravka	0.200	KOM	       1,99		1	KG	9,95			MPC 2.5.2025=1,99€	3850104209444	HRANA
Barilla umak od rajčice 400 g	01302250	Barilla	0.400	KOM	       3,29		1	KG	8,225			MPC 2.5.2025=3,29€	8076809513395	HRANA
Bakina tajna-domaći ajvar blagi 300g	01302310	Bakina Tajna	0.300	KOM	       5,49		1	KG	18,3			MPC 2.5.2025=5,49€	8606102785030	HRANA
Bakina tajna ajvar upržen ljuti 300 g	01302311	Bakina Tajna	0.300	KOM	       5,49		1	KG	18,3			MPC 2.5.2025=5,49€	8606102785535	HRANA
Zvijezda majoneza delikates 400 g	01302772	Zvijezda	0.400	KOM	       4,29		1	KG	10,73			MPC 2.5.2025=3,99€	3858882219020	HRANA
Zvijezda čili majoneza tuba 165g	01302910	Zvijezda	0.165	KOM	       2,49		1	KG	15,09			MPC 2.5.2025=2,39€	3856015304339	HRANA
Podravka gulaš goveđi 200 g	01400018	Podravka	0.200	KOM	       3,79		1	KG	18,95			MPC 2.5.2025=3,49€	3850104020018	HRANA
Podravka pašteta pileća 50 g	01400022	Podravka	0.050	KOM	       0,85		1	KG	  17			MPC 2.5.2025=0,85€	38500503	HRANA
Podravka pašteta čajna 50 g	01400024	Podravka	0.050	KOM	       0,85		1	KG	  17			MPC 2.5.2025=0,85€	38500701	HRANA
Podravka pašteta kokošja 50 g	01400028	Podravka	0.050	KOM	       0,85		1	KG	  17			MPC 2.5.2025=0,85€	38500480	HRANA
Podravka gulaš goveđi 400 g	01400030	Podravka	0.400	KOM	       5,99		1	KG	14,98			MPC 2.5.2025=4,49€	3850104020087	HRANA
PPK Karlovac mesni narezak 100 g	01400067	PPK Karlovac	0.100	KOM	       0,79		1	KG	 7,9			MPC 2.5.2025=0,79€	3858881617056	HRANA
PPK Karlovac pašteta jetrena 100 g	01400068	PPK Karlovac	0.100	KOM	       0,69		1	KG	 6,9			MPC 2.5.2025=0,69€	3858881617032	HRANA
PPK Karlovac pašteta čajna 30 g	01400069	PPK Karlovac	0.030	KOM	       0,39		1.000					MPC 2.5.2025=0,33€	3858881615007	HRANA
PPK Karlovac pašteta čajna 50 g	01400074	PPK Karlovac	0.050	KOM	       0,49		1	KG	 9,8			MPC 2.5.2025=0,55€	3858881615052	HRANA
PPK Karlovac pileća pašteta 50 g	01400076	PPK	0.050	KOM	       0,49		1	KG	 9,8			MPC 2.5.2025=0,45€	3858881617063	HRANA
PPK Karlovac pašteta jetrena 50 g	01400081	PPK	0.050	KOM	       0,49		1	KG	 9,8			MPC 2.5.2025=0,55€	3858881617049	HRANA
Gavrilović mesni doručak 150 g	01400092	Gavrilović	0.150	KOM	       2,15		1	KG	14,33			MPC 2.5.2025=2,15€	3858881220010	HRANA
Gavrilović čajna pašteta 100 g	01400093	Gavrilović	0.100	KOM	       1,55		1	KG	15,5			MPC 2.5.2025=1,55€	3858881221529	HRANA
Gavrilović čajna pašteta 50 g	01400094	Gavrilović	0.050	KOM	       1,09		1	KG	21,8			MPC 2.5.2025=1,09€	3858881220096	HRANA
Gavrilović jetrena pašteta 50 g	01400095	Gavrilović	0.050	KOM	       1,09		1	KG	21,8			MPC 2.5.2025=1,09€	3858881220072	HRANA
Gavrilović jetrena pašteta 100 g	01400097	Gavrilović	0.100	KOM	       1,55		1	KG	15,5			MPC 2.5.2025=1,55€	3858881221543	HRANA
Koketa Pašteta pileća jetrena 100 g	01400098	Koketa	0.100	KOM	       1,29		1	KG	12,9			MPC 2.5.2025=1,09€	3850159130076	HRANA
Koketa Pašteta pileća jetrena 50 g	01400099	Koketa	0.050	KOM	       0,89		1	KG	17,8			MPC 2.5.2025=0,79€	3850159130069	HRANA
Podravka gulaš goveđi, lim. 300 g	01400240	Podravka	0.300	KOM	       4,99		1	KG	16,63			MPC 2.5.2025=3,29€	3850104020032	HRANA
