naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
ZAÈ.PAPAR ŠARENI KOTANYI 35 g ;5165;;0,0350;kg;4,49;128,29;;;3,99;9001414041130;Hrana
CROISSANT 7DAY S FAMILY 185 g;5177;7 Day's;0,1850;kg;2,65;14,32;;;2,65;7622202215292;Hrana
CROIS.7DAYS FAMILY MILLFU.185g;5198;7 Day's;0,1850;kg;2,65;14,32;;;2,65;7622202215735;Hrana
ZAÈIN KIM ŠAFRAM 10g;5328;;0,0100;kg;0,49;49,00;;;0,47;3859888163133;Hrana
ZAÈIN PERŠIN SUŠEN.ŠAFRAM 150g;5333;;0,1500;kg;3,49;23,27;;;3,71;3859890104063;Hrana
SUHA ŠLJIVA ŠAFRAM 200 g;5346;Safram;0,2000;kg;2,49;12,45;;;2,49;3859890104230;Hrana
ÈOK.JAJE KINDER SURPRISE 20 g;5371;Kinder;0,0200;kg;1,59;79,50;;;1,49;40084107;Hrana
ÈOKOLADNO JAJE KINDER JOY 20 g;5375;Ferrero;0,0200;kg;1,49;74,50;;;1,49;80310891;Hrana
ÈOK.KINDER FERRERO 50 g;5378;Ferrero;0,0500;kg;1,25;25,00;;;1,15;80177609;Hrana
ÈOK.KINDER FERRERO 100 g;5383;Kinder;0,1000;kg;1,89;18,90;;;1,79;80177616;Hrana
ZAÈIN CIMET U KORI ŠAFRAM 20g;5390;;0,0200;kg;0,99;49,50;;;0,99;3859890104261;Hrana
ÈOK.KINDER COUNTRY 23,5 g;5394;Ferrero;0,0235;kg;0,89;37,87;;;0,79;40084176;Hrana
ÈOK.KINDER BUENO 43 g;5396;Kinder;0,0430;kg;1,29;30,00;;;1,19;80052760;Hrana
ZAÈIN KLINÈIÆ CIJEL.ŠAFRAM 20g;5398;Safram;0,0200;kg;1,19;59,50;;;1,45;3859890104247;Hrana
ZAÈIN ÈEŠNJAK GRANU.ŠAFRAM 30g;5404;;0,0300;kg;,79;26,33;;;0,79;3859888163270;Hrana
RAFFAELLO T-15 FERRERO 150 g;5416;Ferrero;0,1500;kg;4,29;28,60;;;3,99;8000500023976;Hrana
RAFFAELLO FERRERO 40 g;5420;Ferrero;0,0400;kg;1,19;29,75;;;1,29;5413548040639;Hrana
MLIJEKO UHT 3,5% ALPSKO 1 L;5521;Ljubljanske Mlekarne;1,0000;L;1,69;1,69;;;1,69;3838800040578;Hrana
SPREJ GLADE RELAXING Z.300 ml;5549;Glade;0,3000;L;3,05;10,17;;;3,69;3858895411046;Sredstva za èišæenje
ROCHER T16 FERRERO 200 g;5563;Ferrero;0,2000;kg;5,75;28,75;;;6,49;8000500003787;Hrana
ROCHER  FERRERO DIAMANT 300 g;5568;Ferrero;0,3000;kg;12,99;43,30;;;11,59;8000500009673;Hrana
RIŽA ŠAFRAM DUGO ZRNO 950g;5574;;0,9500;kg;2,79;2,94;;;2,65;3859888163676;Hrana
ZAÈIN PERŠIN SUŠENI ŠAFRAM 7g;5581;;0,0070;kg;0,49;70,00;;;0,6;3859888163263;Hrana
ORAH MLJEVENI ŠAFRAM 200 g;5587;Safram;0,2000;kg;;10,45;2,09;3,49;3,49;3859890104216;Hrana
ŠEÆER MLJEVENI ŠAFRAM 200 g;5596;Safram;0,2000;kg;;2,65;0,53;0,89;0,89;3859888163669;Hrana
ZAÈIN CIMET MLJEVEN.ŠAFRAM 10g;5611;;0,0100;kg;0,49;49,00;;;0,52;3859888163300;Hrana
SUHO GROŽÐE ŠAFRAM 200 g;5615;;0,2000;kg;1,79;8,95;;;1,29;3859888163683;Hrana
ÈOKOLADA DUPLO FERRERO 26 g;5621;Ferrero;0,0260;kg;0,85;32,69;;;0,85;80052357;Hrana
ZAÈ.PAPAR CR.ZRN.KOTANYI 50 g;5623;;0,0500;kg;3,99;79,80;;;3,44;9001414040393;Hrana
REFIL GLADE MICROSPRAY 10 ml;5633;Glade;1,0000;kom;4,89;4,89;;;5,79;5000204651010;Sredstva za èišæenje
GEL GLADE LJUBI.I LAVAND.150 g;5638;Glade;0,1500;kg;2,29;15,27;;;2,69;5000204306910;Sredstva za èišæenje
ZAÈ.ORIGANO USIT.KOTANYI 12 g;5640;;0,0120;kg;2,19;182,50;;;1,98;9001414040348;Hrana
GEL GLADE RELAXING ZEN 150 g;5645;Glade;0,1500;kg;2,29;15,27;;;2,69;5000204306941;Sredstva za èišæenje
ZAÈIN PERŠIN KOTANYI 7 g ;5650;;0,0070;kg;2,19;312,86;;;1,98;9001414040386;Hrana
GEL GLADE ÐURÐICA 150 g;5651;Glade;0,1500;kg;2,29;15,27;;;2,69;5000204306972;Sredstva za èišæenje
PRAL.POCKET COFFEE FERR.62,5 g;5661;Ferrero;0,0625;kg;1,99;31,84;;;1,79;80135944;Hrana
ZAÈ.CHIL.KOTANYI STAKLO 50 g;5665;Kotanyi;0,0500;kg;2,39;47,80;;;2,09;9001414040102;Hrana
PRAL.POCKET COFFEE FERRE.225 g;5668;Ferrero;0,2250;kg;5,59;24,84;;;4,89;80051732;Hrana
ZAÈ.LUK GRANULE KOTANYI 40 g;5672;Kotanyi;0,0400;kg;2,39;59,75;;;2,09;9001414040577;Hrana
PRALINE MON CHERI FERR.157,5 g;5676;Ferrero;0,1580;kg;5,29;33,48;;;4,59;4008400102528;Hrana
ZAÈIN BOSILJAK MRVL.KOTANYI 9g;5678;;0,0090;kg;0,99;110,00;;;0,99;9001414018002;Hrana
ZAÈ.MEDITERANSKA MJEŠ.KOT.25 g;5682;Kotanyi;0,0250;kg;2,19;87,60;;;1,98;9001414040676;Hrana
ZAÈ.VANILIJA BURBON KOTANYI ;5688;Kotanyi;0,0030;kg;3,59;1196,67;;;5,97;9001414030004;Hrana
KAKAO U PRAHU KANDIT 100 g ;5694;Kandit;0,1000;kg;3,09;30,90;;;3,09;3858881044012;Piæa
ZAÈ.PAPAR-ÈEŠNJA.KOTANYI 70 g;5696;;0,0700;kg;3,99;57,00;;;3,44;9001414040799;Hrana
ZAÈ.PAPAR BIJ.MLJ.KOTANYI 54 g;5701;Kotanyi;0,0540;kg;3,99;73,89;;;3,44;9001414040423;Hrana
ÈOKOLADA U PRAHU KANDIT 100 g;5707;Kandit;0,1000;kg;2,89;28,90;;;2,89;3858881044043;Piæa
ZAÈ.MJEŠ.S PAPROM KOTAN.60 g;5709;;0,0600;kg;3,99;66,50;;;3,44;9001414040669;Hrana
ZAÈIN KOTANYI PEPERONCINI 15 g;5716;Kotanyi;0,0150;kg;2,49;166,00;;;2,49;9001414040058;Hrana
BOMBONI CONFETTINO DRAŽE 30 g;5717;Kandit;0,0300;kg;0,99;33,00;;;0,99;3858881042858;Hrana
ŽELE NARESCI KANDIT 100 g;5721;Kandit;0,1000;kg;0,93;9,30;;;0,93;3858881044517;Hrana
ZAÈ.SOL KOTANYI STAKLO 135 g ;5723;Kotanyi;0,1350;kg;1,39;10,30;;;1,32;9001414040522;Hrana
ZAÈIN  VLASAC  KOTANYI 6 g;5727;;0,0060;kg;2,19;365,00;;;1,98;9001414040508;Hrana
SRE.MR.MUSCLE VODOINS.GEL 1 L;5741;Mr.Muscle;1,0000;L;7,29;7,29;;;7,29;5000204275711;Sredstva za èišæenje
SRE.MR.MUSCLE ZA KUHINJ.500 ml;5749;Mr.Muscle;0,5000;L;3,79;7,58;;;3,79;5000204141672;Sredstva za èišæenje
ZAÈIN MEDENJACI KOTANYI 27 g;5770;;0,0270;kg;0,83;30,74;;;1,19;9001414015223;Hrana
ANIS CIJELI KOTANYI 41 g;5772;Kotanyi;0,0410;kg;3,29;80,24;;;2,99;9001414040010;Hrana
ZAÈIN KUHANO VINO KOTANYI 35 g;5773;Kotanyi;0,0350;kg;0,83;23,71;;;1,19;9001414017982;Hrana
ZAÈ.PAPA.KAJENSKI KOTANYI 38 g;5788;Kotanyi;0,0380;kg;2,39;62,89;;;2,09;9001414040089;Hrana
ODSTR.BIOSHOUT ZA MRLJE 500 ml;5798;Bioshout;0,5000;L;3,69;7,38;;;3,69;5000204350845;Sredstva za èišæenje
ZAÈIN MUŠK.ORAH KOTANYI 50 g;5808;;0,0500;kg;4,99;99,80;;;4,49;9001414040300;Hrana
SRE.PRONTO LEGNO PULITO 750 ml;5810;Pronto;0,7500;L;5,59;7,45;;;4,85;5000204604542;Sredstva za èišæenje
ZAÈ.CURRY KOTANYI STAKLO 50 g;5812;Kotanyi;0,0500;kg;3,29;65,80;;;2,99;9001414040119;Hrana
BOMBONI NEGRO PIONIR 100 g;5827;Pionir;0,1000;kg;1,19;11,90;;;1,39;8602300204137;Hrana
SPRA.CLASSIC PRONTO 300 ml ;5836;Pronto;0,3000;L;4,25;14,17;;;5,75;5000204670967;Sredstva za èišæenje
KEKS PIKNIK KOESTLIN 460 g;5838;Koestlin;0,4600;kg;2,69;5,85;;;2,69;3858881090262;Hrana
ZAÈIN  ÐUMBIR  KOTANYI 38 g ;5842;Kotanyi;0,0380;kg;3,29;86,58;;;2,99;9001414040201;Hrana
KEKS PETIT BEUR.KOESTLIN 460 g;5847;Koestlin;0,4600;kg;3,09;6,72;;;3,09;3858881090286;Hrana
GORUŠICA U ZRNU KOTANYI 79 g;5851;Kotanyi;0,0790;kg;3,29;41,65;;;2,99;9001414040713;Hrana
ZAÈI.KLINÈIÆ CIJELI KOTA.30 g;5864;;0,0300;kg;3,29;109,67;;;2,99;9001414040317;Hrana
KREMA ZA NAMJ.PRONTO 250 ml;5869;Pronto;0,2500;L;5,79;23,16;;;5,79;5000204158373;Sredstva za èišæenje
MEDENO SRCE VIŠNJ.PIONIR 150 g;5871;Pionir;0,1500;kg;1,99;13,27;;;1,99;8602300206780;Hrana
MEDENO SRCE VIŠNJA 350 g;5876;Pionir;0,3500;kg;4,19;11,97;;;4,19;8602300206810;Hrana
ZAÈ.KOPAR KOTANYI STAKLO 16 g;5880;;0,0160;kg;2,19;136,88;;;1,98;9001414040126;Hrana
MEDENO SRCE PIONIR 350 g;5882;Pionir;0,3500;kg;4,19;11,97;;;4,19;8602300201631;Hrana
MEDENO SRCE PIONIR 150 g;5886;Pionir;0,1500;kg;1,99;13,27;;;1,99;8602300236022;Hrana
ÈAJ SIR WINSTON EARL GREY 35 g;5899;Teekanne;0,0350;kg;2,39;68,29;;;2,39;5901086050727;Piæa
ZAÈIN KORIJANDER KOTANYI 34 g;5903;Kotanyi;0,0340;kg;2,39;70,29;;;2,09;9001414040270;Hrana
ÈAJ SIR WINSTON ZELENI 35 g;5904;Teekanne;0,0350;kg;2,39;68,29;;;2,39;5901086052226;Piæa
ZAÈIN KIM CIJELI KOTANYI 50 g;5907;Kotanyi;0,0500;kg;2,09;41,80;;;2,09;9001414040249;Hrana
ZAÈ.KURKUMA MLJE.KOTANYI 50 g;5912;Kotanyi;0,0500;kg;3,29;65,80;;;2,99;9001414040171;Hrana
ZAÈIN MJ.PIZZA KOTANYI 30 g;5923;;0,0300;kg;2,39;79,67;;;2,09;9001414040683;Hrana
SPR.RAID MUHE/KOMARCI 400 ml;5939;Raid;0,4000;L;4,59;11,48;;;4,59;5000204342468;Proizvodi za kuæanstvo
TABLETE LAMINIRANE RAID 30/1;5947;Raid;30,0000;kom;4,89;0,16;;;4,89;5000204358278;Proizvodi za kuæanstvo
TARME CEDAR RAID PR.MOLJ.2/1;5972;Raid;2,0000;kom;5,19;2,60;;;5,19;5000204304909;Proizvodi za kuæanstvo
T.RAID LAVANDA PR.MOLJACA 2/1;5975;Raid;2,0000;kom;4,69;2,35;;;5,19;5000204304930;Proizvodi za kuæanstvo
LOSION AUTAN FAMILY 100ml;5982;Autan;0,1000;L;7,99;79,90;;;7,99;8002030142318;Kozmetika
SPRAY AUTAN FAMILY 100ml;6020;Autan;0,1000;L;7,69;76,90;;;7,69;8002030142639;Kozmetika
ZAÈIN MJ.CURRY KOTANYI 27g;6023;;0,0270;kg;1,79;66,30;;;1,69;9001414015094;Hrana
ZAÈIN CHILI CON CARNE 25 g;6043;Kotanyi;0,0250;kg;1,79;71,60;;;1,69;9001414010150;Hrana
TARME MULTIPACK RAID 5+1 ;6045;Raid;5,0000;kom;;1,67;8,35;10,45;10,45;5000204304961;Proizvodi za kuæanstvo
Banana;6081;;1,0000;kg;1,44;1,44;;;1,44;3858885879986;Hrana
Limun rfs;6089;Vlastite potrebe;1,0000;kg;1,49;1,49;;;1,49;3858885878071;Hrana
Naranèa rfs;6100;Vlastite potrebe;1,0000;kg;;0,88;0,88;0,89;1,49;3858893252542;Hrana
Grejp crveni rfs;6128;;1,0000;kg;1,79;1,79;;;1,79;3858885879009;Hrana
Mandarina rfs;6137;;1,0000;kg;1,29;1,29;;;1,89;3858885877487;Hrana
Klementina rfs;6140;;1,0000;kg;1,59;1,59;;;1,79;862;Hrana
TORTILLA ÈIPS NATURAL 200 g;6148;;0,2000;kg;;8,95;1,79;2,39;2,39;5412514934842;Hrana
Kruška Abata rfs;6149;;1,0000;kg;1,99;1,99;;;2,09;3858885876589;Hrana
TORTILLA ÈIPS CHILLI 200 g;6151;;0,2000;kg;;8,95;1,79;2,39;2,39;5412514934927;Hrana
TORTILLA ÈIPS SIR 200 g;6155;;0,2000;kg;;8,95;1,79;2,39;2,39;5412514934897;Hrana
Kruška Williams rfs;6158;;1,0000;kg;1,89;1,89;;;1,39;3858893251606;Hrana
KARAMELA LJEŠNJAK PIONIR 100 g;6161;Pionir;0,1000;kg;1,69;16,90;;;1,69;8602300207305;Hrana
KAVA ESPRESSO ILLY 250 g ;6164;Illy;0,2500;kg;;32,92;8,23;10,29;10,29;8003753900438;Piæa
PIŠKOTE VERONA 400 g;6200;Verona;0,4000;kg;3,49;8,73;;;3,99;8015997000201;Hrana
Grožðe rose rfs;6222;;1,0000;kg;2,99;2,99;;;3,99;3858885878873;Hrana
ZAÈIN LOVOR LIST KOTANYI 5g;6394;;0,0050;kg;0,99;198,00;;;0,99;9001414015346;Hrana
KAŠICA HIPP PILE.POV.TJE.220 g;6421;Hipp;0,2200;kg;2,12;9,64;;;2,12;9062300103448;Hrana
KAŠICA HIPP PURETINA 220 g;6426;Hipp;0,2200;kg;2,05;9,32;;;2,05;9062300103493;Hrana
ZAÈ.BILJ.VLASAC KOTANYI 5g;6428;;0,0050;kg;0,99;198,00;;;0,99;9001414015568;Hrana
KAŠICA HIPP TELE.TJE.RAJ.220 g;6432;Hipp;0,2200;kg;2,12;9,64;;;2,12;9062300103547;Hrana
ZAÈIN ŠAFRAN KOTANYI 12 g;6433;Kotanyi;0,0120;kg;2,39;199,17;;;2,19;9001414010082;Hrana
ZAÈIN RUŽMARIN KOTANYI 24g;6437;;0,0240;kg;0,99;41,25;;;0,99;9001414018088;Hrana
ZAÈIN KOTANYI PROVANSALSKI 17g;6443;;0,0170;kg;0,99;58,24;;;0,99;9001414015865;Hrana
KAŠICA HIPP MLADO POVRÆE 190 g;6470;Hipp;0,1900;kg;1,96;10,32;;;1,96;4062300020313;Hrana
ZAÈIN PERŠIN KOTANYI 7g ;6487;;0,0070;kg;0,99;141,43;;;0,99;9001414015445;Hrana
KAŠICA HIPP MLADA MRKV.125 g;6488;Hipp;0,1250;kg;1,23;9,84;;;1,23;4062300020719;Hrana
ZAÈ.PAPAR ZEL.ZR.KOTANYI 12 g;6496;;0,0120;kg;1,72;143,33;;;1,72;9001414010075;Hrana
ZAÈ.PAPAR CRN.MLJ.KOTANYI 17 g;6505;;0,0170;kg;1,72;101,18;;;1,72;9001414015469;Hrana
KAŠICA HIPP BROKULA RIŽA 125 g;6506;Hipp;0,1250;kg;1,25;10,00;;;1,25;9062300131137;Hrana
KAŠICA HIPP MLIJ. KEKS 190 g;6509;Hipp;0,1900;kg;1,65;8,68;;;1,68;9062300133148;Hrana
KAŠICA HIPP ML.JAB.KRUŠ.190 g;6510;Hipp;0,1900;kg;1,68;8,84;;;1,68;9062300133070;Hrana
ZAÈ.PAPAR BIJELI KOTANYI 17 g;6511;Kotanyi;0,0170;kg;1,72;101,18;;;1,72;9001414015483;Hrana
ZAÈIN ORIGANO USIT.KOTANYI 8 g;6513;;0,0080;kg;0,99;123,75;;;0,99;9001414015421;Hrana
KAŠICA HIPP GRIZ ÈOKOL.190 g;6514;Hipp;0,1900;kg;1,65;8,68;;;1,68;9062300133117;Hrana
ZAÈIN MUŠKAT ORAŠ.KOTANYI 18 g;6517;;0,0180;kg;2,39;132,78;;;2,19;9001414015391;Hrana
KAŠICA HIPP BANANA RIŽA 190 g;6518;Hipp;0,1900;kg;1,68;8,84;;;1,68;9062300133025;Hrana
ZAÈIN MAŽURAN KOTANYI 6g;6523;;0,0060;kg;0,99;165,00;;;0,99;9001414015377;Hrana
KAŠICA HIPP PILET.POVRÆE 190 g;6529;Hipp;0,1900;kg;2,04;10,74;;;2,04;9062300100959;Hrana
KAŠICA HIPP TEL.RIŽA MRK.190 g;6533;Hipp;0,1900;kg;2,04;10,74;;;2,04;9062300101093;Hrana
KAŠICA HIPP TELE.POVRÆE 190 g;6535;Hipp;0,1900;kg;2,04;10,74;;;2,04;9062300132066;Hrana
ZAÈIN MAJÈINA D.KOTANYI 14g;6537;;0,0140;kg;0,99;70,71;;;0,99;9001414015599;Hrana
ZAÈ.KORICA LIMUN.KOTANYI 14 g;6540;;0,0140;kg;0,59;42,14;;;0,99;9001414016039;Hrana
ZAÈ.KLINÈIÆ MLJE.KOTANYI 20 g;6546;Kotanyi;0,0200;kg;2,19;109,50;;;1,89;9001414015414;Hrana
KAŠICA HIPP ŠLJIVA 125 g;6554;Hipp;0,1250;kg;1,15;9,20;;;1,15;9062300106739;Hrana
ZAÈ.KOPAR USITNJ.KOTANYI 11 g;6563;;0,0110;kg;0,99;90,00;;;0,99;9001414015100;Hrana
ZAÈ.KLINÈIÆ CIJELI KOTAN.18 g;6567;;0,0180;kg;2,19;121,67;;;1,89;9001414015407;Hrana
KAŠICA HIPP BANANA BRES.190 g;6573;Hipp;0,1900;kg;1,65;8,68;;;1,67;9062300134251;Hrana
ZAÈ.ÈEŠNJAK GRAN.KOTANYI 28 g;6574;;0,0280;kg;1,39;49,64;;;1,29;9001414015261;Hrana
KAŠICA HIPP KRUŠKA JAB.125 g;6575;Hipp;0,1250;kg;1,24;9,92;;;1,24;9062300138686;Hrana
ZAÈIN CIMET KORICA KOTANYI 17g;6578;;0,0170;kg;2,19;128,82;;;1,29;9001414015643;Hrana
KAŠICA HIPP BRESKVA 190 g;6579;Hipp;0,1900;kg;1,67;8,79;;;1,67;9062300000358;Hrana
KAŠICA HIPP MARELICA 190 g;6580;Hipp;0,1900;kg;1,65;8,68;;;1,65;9062300101680;Hrana
ZAÈ.CIMET MLJEVEN.KOTANYI 25 g;6581;Kotanyi;0,0250;kg;0,83;33,20;;;1,29;9001414015650;Hrana
ZAÈIN KOTANYI SALATA 16g;6586;;0,0160;kg;1,19;74,38;;;0,99;9001414016022;Hrana
ZAÈ.SAVIJAÈA OD JABUKA 26 g;6603;;0,0260;kg;0,83;31,92;;;1,19;9001414015933;Hrana
KAŠICA HIPP KRUŠKA VILJ.190 g;6617;Hipp;0,1900;kg;1,67;8,79;;;1,67;9062300131670;Hrana
SOK HIPP GROŽÐE JABUKA 200 ml;6639;Hipp;0,2000;l;1,29;6,45;;;1,29;9062300106241;Piæa
SOK HIPP JABUKA BLAGI 200 ml;6651;Hipp;0,2000;l;1,29;6,45;;;1,29;9062300102748;Piæa
KAŠICA HIPP PIL.RAJÈ.KR.220 g;6671;Hipp;0,2200;kg;2,12;9,64;;;2,12;9062300131380;Hrana
KAŠICA HIPP PUR.RIŽA MRK.220 g;6675;Hipp;0,2200;kg;2,12;9,64;;;2,12;9062300134411;Hrana
KAŠICA HIPP TEL.POV.RIŽA 220 g;6677;Hipp;0,2200;kg;2,05;9,32;;;2,05;9062300103035;Hrana
KAŠICA HIPP INT.ŽIT.JAB.190 g;6687;Hipp;0,1900;kg;1,79;9,42;;;1,79;9062300132363;Hrana
KAŠICA HIPP VOÆE ŽITAR.190 g;6692;Hipp;0,1900;kg;1,79;9,42;;;1,79;9062300137825;Hrana
KAŠICA HIPP JAB.BAN.KEKS 190 g;6700;Hipp;0,1900;kg;1,65;8,68;;;1,65;9062300132455;Hrana
AROMA LIMUN  AROMAR 15 ml;6919;;0,0150;l;1,59;106,00;;;1,59;3859888333116;Hrana
AROMA KRUŠKOVAC AROMAR 15 ml;6926;Aromar;0,0150;l;1,69;112,67;;;1,59;3859888333055;Hrana
KRPA SPUŽVASTA 3/1 TOP TEX;6943;;3,0000;kom;2,29;0,76;;;2,29;9001378421634;Proizvodi za kuæanstvo
KRPA SPUŽVASTA 5/1 TOP TEX;6949;;5,0000;kom;2,91;0,58;;;2,91;9001378421641;Proizvodi za kuæanstvo
SOJIN PROIZ.ZA KUH.ALP.0,25 L;7095;Alpro;0,2500;l;2,59;10,36;;;2,59;5411188513483;Piæa
NAPITAK ALPRO SOJA ORIGIN.1 L;7119;Alpro;1,0000;l;2,99;2,99;;;2,99;5411188543381;Piæa
NAPITAK ALPRO SOJA BŠ.1 L;7122;Alpro;1,0000;l;2,99;2,99;;;2,99;5411188543398;Piæa
RIŽA SCOTTI ORIGINARIO 1 kg;7131;Scotti;1,0000;kg;4,79;4,79;;;4,79;8001860100017;Hrana
ULJE MAS.EX.DJ.MONINI CL.0,5 L;7135;Monini;0,5000;L;7,49;14,98;;;7,49;80053828;Hrana
ULJE MAS.EXT.DJEV.MONINI 1 L;7136;Monini;1,0000;L;;7,99;7,99;12,99;13,99;80053835;Hrana
ICE GEL DELON 227 g;7196;Delon;0,2270;kg;3,09;13,61;;;3,09;3858885847084;Kozmetika
ACIDOFIL DUKAT 180 g ;7201;Dukat;0,1800;kg;0,59;3,28;;;0,59;3850354001560;Hrana
JOGURT B AKTIV 1,5% M.M.150 g;7208;Dukat;0,1500;kg;0,79;5,27;;;0,65;3850354019121;Hrana
MLIJEKO ÈOKOLADNO DUKAT 0,2 L;7252;Dukat;0,2000;L;0,99;4,95;;;0,99;3850354002239;Hrana
SPUŽVA S ABRAZIVOM 3/1;7397;;3,0000;kom;1,99;0,66;;;1,99;9001378700098;Proizvodi za kuæanstvo
SPUŽVA S ABRAZIVOM 2/1;7401;;2,0000;kom;1,32;0,66;;;1,32;9001378700104;Proizvodi za kuæanstvo
ULO.ALWAYS ULT.NORM.PLUS 20/1;7408;Always;20,0000;kom;3,49;0,17;;;3,49;4015400213932;Toaletne potrepštine
RIŽA ZLATO POLJ.S.ANDREA 500 g;7422;Zlato Polje;0,5000;kg;2,79;5,58;;;2,59;3838700540482;Hrana
RIŽA ZLATO POLJE VREÆICA 800 g;7442;Zlato Polje;0,8000;kg;2,59;3,24;;;2,59;3838700540314;Hrana
RIŽA ZLATO POLJ.DOM.JELA 1 kg ;7475;Zlato Polje;1,0000;kg;3,39;3,39;;;3,39;3838700540291;Hrana
RIŽA ZLATO POLJE S.ANDREA 1 kg;7494;Zlato Polje;1,0000;kg;4,99;4,99;;;4,99;3838700540406;Hrana
RIŽA ZLATO POLJE VACUUM 1 kg;7501;Zlato Polje;1,0000;kg;3,99;3,99;;;3,99;3838700540413;Hrana
DŽEM BONNE MAMAN BRESKVA 370 g;7530;Bonne Maman;0,3700;kg;4,99;13,49;;;6,59;3608580705185;Hrana
DŽEM BONNE MAMAN JAGODA 370 g;7537;Bonne Maman;0,3700;kg;4,99;13,49;;;7,49;3608580705130;Hrana
DŽEM BON.MAMAN MARELICA 370 g;7551;Bonne Maman;0,3700;kg;4,99;13,49;;;6,59;3608580705116;Hrana
ORAH MLJEVENI 200 g;7558;Marjan Voce;0,2000;kg;2,49;12,45;;;2,29;3859890587347;Hrana
DŽEM BON.MAMAN ŠUM.VOÆE 370 g;7559;Bonne Maman;0,3700;kg;4,99;13,49;;;8,49;3608580705123;Hrana
DŽEM BON.MAMAN BOROVNICA 370 g;7562;Bonne Maman;0,3700;kg;4,99;13,49;;;8,99;3608580705147;Hrana
DŽEM BONNE MAMAN TREŠNJA 370 g;7568;;0,3700;kg;4,99;13,49;;;7,19;3608580705215;Hrana
NAMAZ MLI.DUKATELA ORIGIN.70 g;7650;Dukat;0,0700;kg;0,95;13,57;;;0,89;3850354015055;Hrana
NAMAZ MLIJ.S POVRÆE.DUKAT 70 g;7667;Dukat;0,0700;kg;0,95;13,57;;;0,85;3850354015079;Hrana
JOGURT ÈVRSTI 3,2% DUKA.180 g ;7760;Dukat;0,1800;kg;0,44;2,44;;;0,44;3850354001133;Hrana
VRHNJE KISEL.DUKA.12%MM 200 g ;7773;Dukat;0,2000;kg;0,94;4,70;;;0,94;3850354002024;Hrana
VRHNJE KISELO DUKA.20%MM 200 g;7779;Dukat;0,2000;kg;1,29;6,45;;;1,19;3850354002055;Hrana
MASLAC DUKAT 20 g;7794;Dukat;0,0200;kg;0,49;24,50;;;0,49;3850355001521;Hrana
MASLAC DUKAT 1.KLASA 250 g ;7800;Dukat;0,2500;kg;2,99;11,96;;;2,99;3850355000999;Hrana
DESERT MOUSSE ÈOKOLADNI 100 g;7804;Dukat;0,1000;kg;1,19;11,90;;;1,29;3850354001485;Hrana
Grožðica  RFS;7878;;1,0000;kg;3,99;3,99;;;4,99;8586008519178;Hrana
Grožðica zlatna RFS;7881;;1,0000;kg;4,36;4,36;;;4,36;3859891427598;Hrana
MLIJEKO SVJ. 3,2% DUKAT 1 L ;7887;Dukat;1,0000;L;1,35;1,35;;;1,35;3850354000501;Hrana
LIP BALM ROSAL SO NATUR.4,8 g;7926;Rosal;1,0000;kom;2,49;2,49;;;2,49;3856007908552;Kozmetika
SIR SVJEŽI POSNI DUKAT 500 g ;7948;Dukat;0,5000;kg;2,49;4,98;;;2,49;3850355001026;Hrana
SOK OD CIKLE ENCIAN 0,75 L;7973;Encian;0,7500;l;3,69;4,92;;;3,32;3859889425728;Piæa
Orah jezgra RFS;7987;;1,0000;kg;5,69;5,69;;;8,99;3858889331534;Hrana
Badem nps RFS;7991;;1,0000;kg;7,49;7,49;;;11,99;3858889330254;Hrana
JOGURT TEKUÆI DUKAT 180 g ;7995;Dukat;0,1800;kg;0,44;2,44;;;0,44;3850354000921;Hrana
Marelica suha RFS;8042;Primorac;1,0000;kg;10,99;10,99;;;10,99;3858889330711;Hrana
Šljiva suha bez koštica  RFS;8063;;1,0000;kg;10,59;10,59;;;7,99;3858889330742;Hrana
PISTACIO RFS;8086;;1,0000;kg;20,49;20,49;;;20,49;3858889331404;Hrana
KOŠTICE BUÆINE RFS;8098;;1,0000;kg;8,99;8,99;;;8,99;3858889331398;Hrana
KIKIRIKI LJUSKA RFS;8107;;1,0000;kg;4,99;4,99;;;4,99;3858889331374;Hrana
Smokva suha RFS;8111;;1,0000;kg;7,99;7,99;;;7,99;3872084001764;Hrana
INDIJSKI ORAH SLANI RFS;8118;;1,0000;kg;21,99;21,99;;;21,99;3858889331411;Hrana
VRHNJE ZA KAVU DUKAT 10X10 g;8133;Dukat;0,1000;kg;1,49;14,90;;;1,39;3850354006138;Hrana
VRHNJE ZA ŠLAG DUKAT 200 g;8142;Dukat;0,2000;kg;2,09;10,45;;;2,29;3850354001317;Hrana
RIŽA DU.ZRNO GALLO BLOND 1 kg;8185;Gallo;1,0000;kg;5,09;5,09;;;5,09;8001420003666;Hrana
ZAÈ.PAPRIKA SLAT.KOTANYI 100 g;8203;;0,1000;kg;2,49;24,90;;;2,25;9001414009208;Hrana
Student mix RFS;8219;;1,0000;kg;10,99;10,99;;;10,99;3858889330926;Hrana
RIŽA GALLO ARBORIO D.ZRNO 1 kg;8221;Gallo;1,0000;kg;5,99;5,99;;;5,99;8001420002911;Hrana
